product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Tendre de Boeuf (format spécial x6),Charal,"Meats,Beef",France,544.0,5.5,2.3,0.0,0.0,20.0,0.14,-2.0
 Maxi Hot Dog New York Style,Charal,"Sandwiches,Hot dog sandwiches",France,1071.0,11.0,4.6,27.0,5.6,11.0,2.05,17.0
Faux-Filet,Charal,"Meats,Beef,fr:faux-filets",France,619.0,6.7,1.7,0.0,0.0,22.0,0.16,-3.0
2 steaks hachés spécial Burgers,Charal,"Meats,Beef,Steaks,Beef steaks,Fresh meats,Ground steaks,Ground beef steaks,Fresh ground steaks,Fresh ground beef steaks",France,895.0,15.0,6.0,0.0,0.0,20.0,0.24,3.0
"Fondant de Veau Crème de Normandie, Pleurotes et Champignons de Paris",Charal,"Meals,Meat-based products,Meals with meat,Beef dishes,Refrigerated foods,Microwave meals,Refrigerated meals,Veal meat dishes,Veal blanquette",France,592.0,8.0,5.1,4.1,0.5,13.0,0.89,4.0
Entrecôte,Charal,"Meats,Beef,fr:entrecote",France,952.0,17.0,7.8,0.0,0.0,19.0,0.15,4.0
Nuggets au Bœuf ,Charal,"Meals,Fresh foods,Meat-based products,Meals with meat,Beef dishes,Breaded products,Fresh meals,fr:nuggets,fr:nuggets-de-boeuf",France,1186.0,19.0,5.1,14.0,0.7,13.0,1.15,13.0
Mini Boulettes au Boeuf à la Provençale,Charal,"Meats,Beef,Fresh meats,Meat preparations,Beef preparations,Fresh meat preparations,Ground meat preparations,Fresh ground meat preparations,Ground beef preparations,Fresh ground beef preparations",France,1032.0,18.0,7.8,1.9,1.2,18.0,1.37,16.0
Steaks de Bœuf,Charal,"Meats,Beef,Fresh meats",France,540.0,5.9,2.1,0.0,0.0,19.0,0.49999999999999895,0.0
Noix de Faux-Filet Cuisinée Sauce Forestière,Charal,"Meals,Meat-based products,Meals with meat,Beef dishes,Microwave meals",France,423.0,3.3,1.3,2.7,1.0,15.0,0.93,1.0
Toast Burger steak haché bacon tomate séchées,Charal,"Meals,Sandwiches,Hamburgers,Microwave meals",France,1011.0,8.5,4.2,28.0,4.6,12.0,1.2,13.0
Steacks Hachés pur boeuf,Charal,"Meats,Frozen foods,Beef,Steaks,Beef steaks,Frozen meats,Ground steaks,Frozen steaks,Ground beef steaks,Frozen ground steaks,Frozen ground beef steaks",France,883.0,15.0,6.0,0.0,0.0,19.0,0.24,3.0
Viande hachée 15% Pur Boeuf,Sans marque,"Meats,Beef,Steaks,Beef steaks,Fresh meats,Ground steaks,Ground beef steaks,Fresh ground steaks,Fresh ground beef steaks",France,900.0,15.0,6.0,0.0,0.0,20.0,0.24,3.0
Le haché gourmand,Charal,"Meats,Beef,Steaks,Beef steaks,Fresh meats,Ground steaks,Ground beef steaks,Fresh ground steaks,Fresh ground beef steaks",France,1017.0,19.0,6.4,0.0,0.0,18.0,1.0414,13.0
Aiguillettes de boeuf,Charal,"Meats,Pork",France,452.0,2.2,0.8,1.0,1.0,22.0,0.1,-4.0
Pieds & paquets Marseillais,"Noël Donadieu,Metras","Canned foods,Meals,Meat-based products,Meals with meat,Canned meals,fr:pieds-paquets",France,565.0,7.6,2.8,1.0,0.1,15.7,0.8,1.0
Alouettes Sans Tête,Marseillaises,"Canned foods,Meals,Meat-based products,Meals with meat,Beef dishes,Canned meals",France,435.0,4.1,1.4,3.2,0.9,13.6,0.7,0.0
tapas chorizo hot,campofrio,"Meats,Prepared meats",France,1950.0,43.0,14.0,2.7,1.7,17.0,3.1,25.0
Boisson lactée au cacao,Cacolac,"Beverages,Dairies,Dairy drinks,Flavoured milks,Chocolate milks",France,272.0,1.0,0.5,11.0,11.0,3.0,0.125,1.0
Le Café à Boire Bio,Cacolac,"Beverages,Dairies,Dairy drinks,Coffee drinks,Coffee milks,Sweetened beverages",France,213.0,0.38,0.24,8.9,8.9,2.9,0.19,14.0
Mon premier cacolac,CACOLAC,"Beverages,Dairies,Dairy drinks,Flavoured milks",France,255.0,1.8,1.1,7.5,7.0,3.5,0.1,0.0
Mini Jésus,Lou Mountagnard,"Meats,Prepared meats,Cured sausages,Dry sausage",France,1330.0,25.8,9.0,1.6,1.6,20.9,4.780000000000009,21.0
Feuilleté Jambon Fromage,Sans Marque,"Meals,Fresh foods,Puff pastry meals,Starters,Puff pastries with ham and cheese,fr:Paniers feuilletés",France,1259.0,16.0,11.0,30.0,3.5,8.2,1.4,19.0
Lasagne à la Bolognaise,"Sans marque,Stefano Tosselli","Meals,Pasta dishes,Prepared lasagne,Refrigerated foods,Refrigerated meals,Bolognese lasagne",France,551.0,5.5,2.4,13.0,2.3,6.8,0.9,2.0
Oeuf dur au jambon,Qualité Traiteur,"Meals,Starters,Cold starters,fr:aspics",France,1314.0,3.2,0.7,2.2,2.2,9.4,1.5,4.0
Quiche lorraine Stalaven,Jean Stalaven,"Meals,Pizzas pies and quiches,Refrigerated foods,Quiches,Refrigerated meals,Lorraine quiche",France,1339.0,21.0,11.0,0.7,0.7,9.8,1.075,17.0
Friand à la Viande,"Leclerc,Jean Stalaven","Meals,Meat-based products,Meals with meat,Pork meals,Puff pastry meals,Friands,Meat in puff pastry",France,1894.0,34.5,18.8,24.5,0.75,11.1,1.8,21.0
Hachis Doré au Four,Jean Stalaven,"Meals,Meat-based products,Meals with meat,Refrigerated foods,Refrigerated meals",France,774.0,11.8,5.9,10.8,1.8,8.2,1.2,12.0
Parmentier de Canard,Jean Stalaven,"Meals,Meat-based products,Meals with meat,Poultry meals,Refrigerated foods,Duck dishes,Microwave meals,Refrigerated meals,Shepherd's pie with duck",France,699.0,9.4,4.8,10.3,1.8,9.8,1.1,5.0
Croque à l'Auvergnate cuisiné à la fourme d'Ambert & aux poires,"Sans marque,Qualité Traiteur,Jean Stalaven","Sandwiches,Toasted ham sandwich topped with grated cheese",France,1065.0,12.0,5.9,23.0,4.9,12.0,1.2,14.0
Céleri rémoulade,Qualité Traiteur,"Meals,Starters,Cold starters",France,523.0,11.8,0.91,2.3,1.8,1.2,1.3,6.0
Effiloché de canard purée de betteraves et pistaches concassées,Régal Du Chef,"Meals,Microwave meals",France,741.0,12.0,6.6,8.8,3.6,6.7,0.8,9.0
Carottes rapées maraicheres,"Sans marque,Jean Stalaven","Meals,Prepared vegetables,Grated carrots,Seasoned shredded carrots",France,301.0,4.0,0.31,6.8,5.2,0.79,0.74,-1.0
Céleri rémoulade (+20% gratuit),"Sans marque,Jean Stalaven","Meals,Prepared vegetables,Celeriac in remoulade sauce",France,523.0,11.8,0.91,2.3,1.8,1.2,1.3,4.0
Salade piémontaise au jambon (+20% gratuit),"Sans marque,Jean Stalaven","Meals,Meat-based products,Salads,Meals with meat,Prepared salads,Pork meals,Potato salads,Piemontese salads,Piemontese salads with ham",France,573.0,9.0,1.0,8.9,0.93,4.3,1.2,4.0
Taboulé au poulet rôti (+20% gratuit),"Sans marque,Jean Stalaven","Meals,Tabbouleh,Chicken Tabbouleh",France,753.0,7.7,0.63,20.5,2.3,6.1,0.83,2.0
Biscottes céréales bio,Brioche Pasquier,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Zwieback,fr:Biscottes aux céréales",France,1749.0,9.7,1.2,67.0,5.0,12.0,1.4,8.0
Pain Grille l'Original,Brioche Pasquier,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,fr:b",France,1600.0,1.6,0.2,79.0,4.6,10.0,1.1811023622047199,2.0
Biscottes Équilibre,"Brioche Pasquier,Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Breads,Products with reduced salt,Zwieback,fr:Biscottes pauvres en sel,fr:produits-a-faible-teneur-en-matieres-grasses",France,1552.0,2.0,0.5,71.0,2.5,14.0,0.02,-6.0
Le Pain Azyme Equilibre,"Brioche Pasquier,Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Unleavened breads",France,1569.0,1.2,0.3,78.0,2.7,11.0,0.0,-4.0
Biscottes Au Froment (x 100) - Brioche Pasquier,"Brioche Pasquier,Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Breads,Zwieback,fr:Biscottes au froment",France,1686.0,7.5,3.5,71.0,7.0,9.5,1.524,10.0
Les Grillettines Tradition Au Froment (18 tartines),"Brioche Pasquier,Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Breads,Toasts,Zwieback,fr:Biscottes au froment,fr:pains-grilles-au-froment",France,1769.0,11.0,5.8,68.0,10.0,10.0,1.02,12.0
les Grillettines Briochée (18 tartines) - Brioche Pasquier,"Brioche Pasquier,Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Breads,Toasts,Zwieback",France,1818.0,13.0,8.0,66.0,13.0,11.0,1.0922,15.0
Crème semi épaisse 4%,"Elle & Vire,Savencia","Dairies,fr:specilaites-laitieres",France,326.0,4.3,2.9,6.5,4.3,3.1,0.13,1.0
Bisque de Homard,Marius Bernard,"Canned foods,Seafood,Meals,Soups,Canned meals,fr:Soupes de crustacés,Canned soups,Lobster bisque,fr:soupes-de-homards",France,272.0,4.04,1.44,4.24,1.54,2.55,1.74,7.0
Roquefort Portion Aoc Cave Indépendante,Roquefort,"Dairies,Fermented foods,Fermented milk products,Cheeses,Blue-veined cheeses,French blue-veined cheeses,Sheep's-milk cheeses,Roquefort cheeses",France,1527.0,31.0,20.0,1.5,0.5,19.0,3.1,19.0
Le Beurre Moulé Doux (82 % MG),Paysan Breton,"Dairies,Spreads,Fats,Spreadable fats,Animal fats,Fresh foods,Milkfat,Dairy spread,Butters,Molded butters,Sweet cream butters",France,3113.0,82.0,60.0,0.6,0.6,0.8,0.1,19.0
Beurre Moulé doux,Paysan breton,"Dairies,Spreads,Fats,Spreadable fats,Animal fats,Milkfat,Dairy spread,Butters,Molded butters,Sweet cream butters",France,3058.0,82.0,60.0,0.6,0.6,0.8,0.05,19.0
L'emmental français rapé,Paysan breton,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,Cow cheeses,Emmentaler,Grated cheese,Grated emmentaler",France,1577.0,29.0,19.5,2.0,2.0,27.0,0.7,12.0
Le camembert,Paysan breton,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Soft cheeses with bloomy rind,Camemberts,Pasteurized cheeses,Pasteurized camembert",France,1201.0,23.0,16.3,23.0,4.0,5.0,1.6,17.0
L' Emmental français râpé,Paysan breton,"Dairies,Fermented foods,Fermented milk products,Cheeses,Fresh foods,Cooked pressed cheeses,Cow cheeses,Emmentaler,French cheeses,French emmentaler,Pasteurized cheeses,Grated cheese,Grated emmentaler,Industrial cheese",France,1577.0,29.0,19.5,2.0,2.0,27.0,0.7,12.0
Paysan Breton Laita Uht Full Fat Milk,Paysan Breton,"Dairies,Milks,Whole milks",France,272.0,3.6,2.5,4.8,4.8,3.3,0.1,1.0
Slightly Salted Butter,Paysan Breton,"Dairies,Spreads,Fats,Spreadable fats,Animal fats,Milkfat,Dairy spread,Butters,Half-salted butter",France,3038.0,80.0,57.0,0.6,0.6,0.8,2.04,28.0
La poêlée celtique,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Frozen plant-based foods mixes,fr:Poêlées,Frozen vegetable mixes,fr:100-legumes,fr:poelees-celtiques",France,195.0,1.3,0.2,5.8,1.8,1.7,0.11,-8.0
Carottes en Rondelles Bio Surgelées,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Carrots,Frozen carrots,Frozen chopped carrots",France,117.0,0.1,0.0,4.9,3.8,0.8,0.23,-4.0
La Primeur de Bretagne,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Cereals and potatoes,Fruits and vegetables based foods,Legumes,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Frozen plant-based foods mixes,Potatoes,fr:Poêlées,Frozen ready-made meals,Frozen vegetable mixes",France,483.0,5.1,3.0,15.0,0.7,1.6,0.5,-1.0
La poêlée pour poisson,Paysan breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Frozen plant-based foods mixes,fr:Poêlées,Frozen ready-made meals,Frozen vegetable mixes,fr:100-legumes",France,131.0,0.3,0.02,4.9,2.9,1.3,0.18,-7.0
Le Panais,Paysan breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Parsnip,fr:100-legumes",France,286.0,0.5,0.1,13.4,4.8,1.3,0.02,-7.0
Duo Haricots verts et beurre,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Seeds,Frozen foods,Legume seeds,Vegetables based foods,Frozen plant-based foods,Pulses,Frozen legumes,Frozen vegetables,Green beans,Frozen green beans,Frozen plant-based foods mixes,Frozen vegetable mixes,Butter beans,Frozen butter beans,Frozen cooked French bean,fr:100-legumes,fr:deja-cuit,fr:precuits",France,151.0,0.5,0.1,5.1,1.2,1.8,0.01,-9.0
Le flageolet cuit,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Frozen foods,Frozen plant-based foods,Frozen legumes,fr:flageolets-surgeles",France,537.0,1.1,0.2,15.8,0.5,5.6,0.07,-7.0
Duo haricots verts et beurre,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Seeds,Frozen foods,Legume seeds,Vegetables based foods,Frozen plant-based foods,Pulses,Frozen legumes,Frozen vegetables,Green beans,Frozen green beans,Frozen plant-based foods mixes,Frozen vegetable mixes,Butter beans,Frozen butter beans,Frozen cooked French bean,fr:100-legumes,fr:deja-cuit,fr:precuits",France,151.0,0.5,0.1,5.1,1.2,1.8,0.01,-9.0
Duo chou-fleurs et brocolis,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Leaf vegetables,Broccoli,Frozen plant-based foods mixes,Cauliflowers,Frozen vegetable mixes,fr:100-legumes,fr:deja-cuit,fr:precuits",France,93.0,0.5,0.1,1.6,1.2,2.2,0.05,-8.0
Duo de carottes rouges et jaunes,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Carrots,Frozen carrots,Frozen chopped carrots,fr:100-legumes,fr:deja-cuit,fr:precuits",France,80.0,0.5,0.1,2.6,2.5,0.6,0.05,-7.0
Haricots verts BIO,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Green beans,Frozen green beans,Frozen cooked French bean,fr:100-legumes,fr:bio,fr:deja-cuit,fr:precuits",France,151.0,0.5,0.1,5.1,1.2,1.8,0.01,-9.0
Brocolis tendres Bio,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Broccoli,Frozen broccoli florets,fr:100-legumes,fr:bio,fr:deja-cuit,fr:precuits",France,121.0,0.5,0.1,2.4,1.5,3.1,0.06,-9.0
Carottes en rondelles succulentes Bio,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Carrots,Frozen carrots,Frozen chopped carrots,fr:100-legumes,fr:bio,fr:deja-cuit",France,137.0,0.7,0.1,4.5,4.1,0.6,0.15,-8.0
Petits pois fondants Bio,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Green peas,Frozen green peas,fr:Petits pois surgelés précuits,fr:100-legumes,fr:bio,fr:deja-cuit,fr:precuits",France,303.0,0.9,0.2,6.7,1.2,5.7,0.01,-8.0
Le haricot vert extra fin,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Green beans,Frozen green beans,Frozen cooked French bean,fr:100-legumes,fr:deja-cuit,fr:precuits",France,151.0,0.5,0.1,5.1,1.2,1.8,0.01,-9.0
Le brocoli en fleurettes,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Broccoli,Frozen broccoli florets,fr:100-legumes,fr:deja-cuit,fr:precuits",France,121.0,0.5,0.1,2.4,1.5,3.1,0.06,-9.0
Brunoise de legumes mediterranéens,toupargel,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods",France,180.0,2.4,0.2,3.8,2.9,1.1,0.01,-6.0
Épinards hachés exquis Bio,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Leaf vegetables,Spinachs,Frozen spinachs,Frozen chopped spinachs,fr:100-legumes,fr:bio,fr:deja-cuit,fr:precuits",France,92.0,0.5,0.1,0.5,0.5,3.2,0.07,-8.0
Petits Pois duo de carottes,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Frozen peas and carrots,fr:100-legumes,fr:bio",France,249.0,0.5,0.1,6.9,3.8,4.1,0.1,-12.0
Poêlée à la Parisienne Bio,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen vegetables,Frozen plant-based foods mixes,fr:Poêlées,Frozen vegetable mixes,fr:100-legumes,fr:bio",France,272.0,1.7,0.2,8.9,2.6,2.0,0.37,-8.0
Haricots blancs demi secs,Paysan breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Seeds,Frozen foods,Legume seeds,Meals,Vegetables based foods,Frozen plant-based foods,Pulses,Common beans,Frozen legumes,Frozen vegetables,White beans,fr:100-legumes",France,520.0,1.7,0.4,11.1,0.7,9.6,0.0,-14.0
La Poêlée Bretonne,Paysan breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Meals,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Frozen plant-based foods mixes,fr:Poêlées,Frozen ready-made meals",France,265.0,2.8,0.7,5.9,2.1,2.4,0.23,-7.0
Duo haricots verts et beurre,Paysan Breton,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fruits and vegetables based foods,Legumes,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Green beans,Frozen green beans,Frozen plant-based foods mixes,Frozen vegetable mixes,Frozen cooked French bean,fr:100-legumes,fr:deja-cuit,fr:precuits",France,151.0,0.5,0.1,5.1,1.2,1.8,0.01,-9.0
Pain croustillant classic,Pural,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products",Foreign,1883.0,20.0,2.9,48.0,2.3,14.0,1.8,9.0
"Pain croustillant fromage, graines de courge",Pural,"Snacks,Salty snacks,Appetizers,Crackers",Foreign,1849.0,18.0,4.8,47.0,2.4,18.0,1.8,11.0
Pain Essene Épeautre,Pural,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads",Foreign,854.0,0.9,0.2,37.1,0.2,8.3,1.0,-4.0
Pain Pumpernickel,Pural,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Pumpernickel,Rye breads",Foreign,787.0,1.3,0.1,34.0,3.4,4.6,0.98,-1.0
Knäcke Sésame,Pural,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rye breads,fr:Pains croustillants",Foreign,1569.0,5.5,0.8,64.0,2.6,9.0,1.3,-1.0
18 oeufs frais de caille,Drome Caille,"Farming products,Eggs,Quail eggs,fr:pondus-en-france",France,4.0,1.0,1.0,1.0,1.0,12.0,1.0,-2.0
Faisselle,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Fresh cheeses,Cream cheeses,Faiselles",France,318.0,4.5,3.4,4.8,3.5,4.0,0.1,1.0
Le Seau de Fromage Blanc (7% MG) 750 g,Rians,"Desserts,Desserts-lactes,Frais,Fromages,Fromages-blancs,Fromages-a-la-creme,Produits-fermentes,Produits-laitiers,Produits-laitiers-fermentes",France,351.0,6.1,3.9,3.9,3.9,3.4,0.1,2.0
La Faisselle,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,307.0,4.5,2.9,4.7,4.3,3.6,0.1,0.0
La Faisselle 0%,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,163.0,0.0,0.0,4.8,3.2,5.2,0.1,-3.0
Faisselle,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,381.0,6.4000000953674006,4.0,4.9000000953674006,3.9000000953674,3.7000000476837003,0.20000000298023,2.0
La faisselle rians 0%,"Rians,Laiterie H. Triballat","Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,fr:Fromages blancs,Cream cheeses,Faiselles,fr:Fromages blancs natures",France,136.0,0.0,0.0,3.5,3.0,4.5,0.10000000149011999,-2.0
Le fondant au chocolat noir,Rians,"Dairies,Desserts,Dairy desserts",France,912.0,13.0,8.0,19.0,17.0,45.0,0.1,12.0
4 Faisselles 0%,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,136.0,0.0,0.0,3.5,3.0,4.5,0.10000000149011999,-2.0
La Faisselle,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,372.0,62.0,4.3,4.4,3.4,4.0,0.1,3.0
Faisselle Rians 0% Offre Spéciale,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,163.0,0.0,0.0,4.8,3.2,5.2,0.1,-3.0
La Faisselle Offre Spéciale,Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Cheeses,Dairy desserts,Cream cheeses,Faiselles",France,372.0,6.0,4.0,4.0,4.0,4.0,0.0,2.0
Confiture De Lait,"Rians restauration,Rians","Spreads,Breakfasts,Sweet spreads,Milk jams",France,1289.0,5.8,4.1,59.0,54.0,5.0,0.25,18.0
Confiture de lait au sel de Guérande,"Rians restauration,Rians","Spreads,Breakfasts,Sweet spreads,Milk jams",France,1305.0,5.7,4.0,60.0,54.0,4.8,0.64,18.0
Le Yaourt au lait de Chèvre (Nature) - (5 % MG),Rians,"Dairies,Desserts,Fermented foods,Fermented milk products,Fresh foods,Yogurts,Goat milk yogurts,Plain yogurts,fr:yaourts-natures-au-lait-de-chevre",France,285.0,4.0,2.8,4.2,3.0,3.7,0.1,0.0
Yaourt Nature La Chèvre,Rians,"Dairies,Fermented foods,Fermented milk products,Yogurts,Goat milk yogurts,Plain yogurts",France,322.0,4.8,3.4,4.2,4.2,4.2,0.08,1.0
Fromage blanc,"C'est qui le Patron ?!,La marque du consommateur","Dairies,Desserts,Fermented foods,Fermented milk products,Dairy desserts,fr:Fromages blancs,Fresh cream cheese with cow's milk,fr:Fromages blancs natures",France,385.0,6.8,4.3,4.4,3.0,3.4,0.1,3.0
Le Flan Pâtissier Rhum-Raisins,Rians,"Snacks,Sweet snacks,Biscuits and cakes,Pastries,Open pies",France,891.0,7.7,4.4,29.7,23.6,4.3,0.13,11.0
L'Onctueux Spéculoos,rians,"Dairies,Desserts,Dairy desserts,Dessert creams,Refrigerated dessert creams,fr:Crèmes dessert vanille",France,900.0,22.0,15.0,15.0,14.0,3.0,0.09,15.0
Panna Cotta mûre & cassis,"Rians,Hugues Triballat,Triballat","Dairies,Desserts,Dairy desserts,Panna cottas,Panna cottas with fruit coulis",France,715.0,14.0,8.7,12.0,11.0,2.5,0.07,6.0
La crème brûlée,Rians,"Dairies,Desserts,Dairy desserts,fr:Crèmes brûlées,fr:Desserts lactés aux œufs",France,1075.0,19.0,12.0,17.0,15.0,4.1,0.1,16.0
Le flan vanille et caramel,"Rians,Hugues Triballat","Dairies,Desserts,Dairy desserts,Flans,fr:Desserts lactés à la vanille",France,619.0,6.1,4.2,19.1,17.9,4.3,0.1,6.0
La creme brulée  au Rhum,Rians,"Dairies,Desserts,Dairy desserts,fr:Crèmes brûlées",France,1184.0,21.0,14.0,18.0,16.0,3.3,0.075,16.0
L'île Flottante à la Vanille Bourbon,Rians,"Dairies,Desserts,Biscuits and cakes,Dairy desserts,Pastries,Floating island,fr:Desserts lactés à la vanille,fr:Desserts lactés aux œufs",France,594.0,4.0,2.0,22.0,20.0,4.1,0.25,5.0
Le crotin de chevre,Rians,"Dairies,Fermented foods,Fermented milk products,Cheeses,Goat cheeses,Crottin cheese from goat's milk",France,1243.0,23.0,18.0,1.6,1.5,20.0,1.5,14.0
Le crottin de chèvre,Rians,"Dairies,Fermented foods,Fermented milk products,Cheeses,Goat cheeses",France,1243.0,23.0,18.0,2.6,1.5,20.0,1.475,14.0
Crottin de Chèvre cendré,Rians,"Dairies,Fermented foods,Fermented milk products,Cheeses,Goat cheeses,Pasteurized cheeses",France,1234.0,23.0,17.0,2.9000000953674,1.2999999523163,19.0,1.8,15.0
La Cabrette,rians,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cream cheeses,Goat cheeses",France,657.0,12.0,8.0,3.0,3.0,9.5,1.3,8.0
Le Bouchon (29% MG),LHT,"Dairies,Fermented foods,Fermented milk products,Cheeses,Goat cheeses,Pasteurized cheeses",France,1159.0,21.0,16.0,3.4,1.9,18.0,1.5,14.0
Picandou Picandine en Périgord,Picandou,"Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,Goat cheeses,Cream cheeses",France,661.0,12.0,8.0,3.0,2.0,9.5,1.3,8.0
Mozzarella - cossettes pour pizza,"En Cuisine,Carrefour","Dairies,Fermented foods,Fermented milk products,Cheeses,Italian cheeses,Stretched-curd cheeses,Mozzarella,fr:mozzarella-en-cossettes",France,1188.0,19.0,13.0,2.2,0.6,26.0,1.0,12.0
Confit de canard 4 cuisses,Promocash,"Meats,Poultries,Ducks,Duck confit",France,1280.0,24.0,8.2,0.0,0.0,24.0,1.5,17.0
Croutons,Tipiak,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Croutons",France,1882.0,16.8,1.8,66.6,8.1,9.5,3.8,17.0
Sachet Mini Bretzels,Boehli,"Snacks,Salty snacks,Appetizers,Crackers,Pretzel",France,1607.0,3.2,0.4,76.2,1.8,10.8,3.5,11.0
