product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
"Hackfleisch vom Rind und Schwein gemischt, zum Braten",K-Bio,"Meats,Meat preparations,Ground meat preparations",Foreign,1046.0,20.0,8.6,0.0,0.0,18.0,0.18,11.0
Bleu d auvergne,Cantorel,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Blue-veined cheeses,French blue-veined cheeses,Auvergne blue cheese from cow's milk",France,1431.0,28.0,20.0,1.5,0.5,21.0,2.6,19.0
soja sun,soja sun,fr:yaourt-framboise-passion,France,1443.0,2.1,0.4,11.8,11.3,3.7,0.05,4.0
Délice de tête aux cornichons,Forezia,"Meals,Meat-based products,Meals with meat,Pork meals",France,498.0,7.2,2.2,1.8,1.1,13.0,2.3,13.0
French camembert,Sainsbury's basics,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Soft cheeses with bloomy rind,Camemberts",France,1151.0,21.0,14.0,1.0,0.5,21.0,1.5,14.0
Gratin dauphinois au jambon,qualité traiteur,"Meals,Meat-based products,Gratins,Meals with meat,Potato gratin,Poultry meals,Dauphiné-style creamed potatoes au gratin",France,573.0,5.1,2.2,14.0,3.9,8.1,1.2,3.0
Bake at home white baguettes,Sainsbury's,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Baguettes",France,1208.0,1.1,0.2,58.8,3.8,8.5,1.09,-1.0
Bisque de Homard,"Deluxe,Lidl Stiftung & Co. KG","Seafood,Meals,Soups,Lobster bisque",France,181.0,2.1,0.7,3.0,0.7,3.1,0.58,1.0
Durstlöscher,QuickVit,"Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas",Foreign,155.0,0.0,0.0,8.8,8.8,0.0,0.08,12.0
muesli aux 5 céréales,"coop naturaplan, Coop","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Cereals and their products,Breakfast cereals,Mueslis",Foreign,1552.0,7.0,1.0,62.0,8.0,11.0,0.18,-5.0
Yaourt nature,"Eurial Ultra Frais, Auchan Discount","Dairies,Fermented foods,Fermented milk products,Yogurts,Plain yogurts",France,176.0,1.0,0.7,4.3,4.3,4.0,0.1,-2.0
Cambozola,"Sainsburys,Sainsbury's","Dairies,Fermented foods,Fermented milk products,Cheeses,Soft cheeses with bloomy rind,Cambozola",Foreign,1782.0,41.1,27.0,0.5,0.5,13.5,1.68,17.0
